sector,subsector,technology,Reporting.sector,Reporting.use,Reporting.technology
resid hot water modern_d9,refined liquids,fuel water heater hi-eff,Residential,Hot water,Liquids
resid lighting modern_d1,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d1,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d1,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d10,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d10,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d10,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d2,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d2,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d2,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d3,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d3,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d3,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d4,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d4,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d4,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d5,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d5,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d5,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d6,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d6,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d6,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d7,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d7,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d7,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d8,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d8,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d8,electricity,solid state,Residential,Lighting,Electric
resid lighting modern_d9,electricity,fluorescent,Residential,Lighting,Electric
resid lighting modern_d9,electricity,incandescent,Residential,Lighting,Electric
resid lighting modern_d9,electricity,solid state,Residential,Lighting,Electric
resid other modern_d1,electricity,electricity,Residential,Other,Electric
resid other modern_d1,gas,gas,Residential,Other,Gas
resid other modern_d1,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d10,electricity,electricity,Residential,Other,Electric
resid other modern_d10,gas,gas,Residential,Other,Gas
resid other modern_d10,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d2,electricity,electricity,Residential,Other,Electric
resid other modern_d2,gas,gas,Residential,Other,Gas
resid other modern_d2,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d3,electricity,electricity,Residential,Other,Electric
resid other modern_d3,gas,gas,Residential,Other,Gas
resid other modern_d3,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d4,electricity,electricity,Residential,Other,Electric
resid other modern_d4,gas,gas,Residential,Other,Gas
resid other modern_d4,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d5,electricity,electricity,Residential,Other,Electric
resid other modern_d5,gas,gas,Residential,Other,Gas
resid other modern_d5,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d6,electricity,electricity,Residential,Other,Electric
resid other modern_d6,gas,gas,Residential,Other,Gas
resid other modern_d6,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d7,electricity,electricity,Residential,Other,Electric
resid other modern_d7,gas,gas,Residential,Other,Gas
resid other modern_d7,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d8,electricity,electricity,Residential,Other,Electric
resid other modern_d8,gas,gas,Residential,Other,Gas
resid other modern_d8,refined liquids,refined liquids,Residential,Other,Liquids
resid other modern_d9,electricity,electricity,Residential,Other,Electric
resid other modern_d9,gas,gas,Residential,Other,Gas
resid other modern_d9,refined liquids,refined liquids,Residential,Other,Liquids
resid others TradBio_d1,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d10,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d2,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d3,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d4,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d5,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d6,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d7,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d8,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid others TradBio_d9,traditional biomass,traditional biomass,Residential,Cooking,Wood
resid refrigerators modern_d1,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d1,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d10,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d10,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d2,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d2,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d3,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d3,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d4,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d4,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d5,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d5,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d6,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d6,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d7,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d7,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d8,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d8,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid refrigerators modern_d9,electricity,refrigerator,Residential,Refrigerators,Electric
resid refrigerators modern_d9,electricity,refrigerator hi-eff,Residential,Refrigerators,Electric
resid televisions modern_d1,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d10,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d2,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d3,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d4,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d5,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d6,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d7,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d8,electricity,electricity,Residential,Televisions,Electric
resid televisions modern_d9,electricity,electricity,Residential,Televisions,Electric
food processing,food processing,food processing,Industry,Food processing,
process heat food processing,coal,coal,Industry,Food processing,
process heat food processing,coal,coal cogen,Industry,Food processing,
process heat food processing,electricity,electric heat pump,Industry,Food processing,
process heat food processing,electricity,electricity,Industry,Food processing,
process heat food processing,electricity,electricity with solar,Industry,Food processing,
process heat food processing,gas,gas,Industry,Food processing,
process heat food processing,gas,gas cogen,Industry,Food processing,
process heat food processing,gas,gas with solar,Industry,Food processing,
process heat food processing,refined liquids,refined liquids,Industry,Food processing,
process heat food processing,refined liquids,refined liquids cogen,Industry,Food processing,
resid hot water modern_d1,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d1,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d10,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d10,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d2,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d2,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d3,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d3,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d4,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d4,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d5,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d5,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d6,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d6,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d7,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d7,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d8,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d8,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
resid hot water modern_d9,electricity,electric resistance water heater,Residential,Hot water,Resistance
resid hot water modern_d9,electricity,electric resistance water heater hi-eff,Residential,Hot water,Resistance
